sitemap_url,last_submitted,last_downloaded,errors,warnings,is_pending,discovered_urls,ping_attempted,ping_status,sitemap_status
https://sitemaps.wenony.fr/products/11.xml,2025-03-28T11:43:23.031Z,N/A,0,0,True,0,Yes,Submitted successfully,Submitted
https://sitemaps.wenony.fr/products/12.xml,2025-03-28T11:43:23.275Z,N/A,0,0,True,0,Yes,Submitted successfully,Submitted
https://sitemaps.wenony.fr/products/13.xml,N/A,2025-03-23T01:21:42.963Z,0,0,False,50000,No,Not needed,OK
https://sitemaps.wenony.fr/products/14.xml,N/A,2025-03-23T12:26:46.491Z,0,0,False,50000,No,Not needed,OK
https://sitemaps.wenony.fr/products/15.xml,2025-03-28T11:43:23.630Z,N/A,0,0,True,0,Yes,Submitted successfully,Submitted
https://sitemaps.wenony.fr/products/16.xml,N/A,2025-03-24T15:41:28.720Z,0,0,False,50000,No,Not needed,OK
https://sitemaps.wenony.fr/products/17.xml,2025-03-28T11:43:24.087Z,N/A,0,0,True,0,Yes,Submitted successfully,Submitted
https://sitemaps.wenony.fr/products/18.xml,2025-03-28T11:43:24.287Z,N/A,0,0,True,0,Yes,Submitted successfully,Submitted
https://sitemaps.wenony.fr/products/19.xml,2025-03-28T11:43:24.487Z,N/A,0,0,True,0,Yes,Submitted successfully,Submitted
https://sitemaps.wenony.fr/products/20.xml,N/A,2025-03-17T01:56:16.991Z,0,0,False,50000,No,Not needed,OK
https://sitemaps.wenony.fr/products/21.xml,2025-03-28T11:43:24.872Z,N/A,0,0,True,0,Yes,Submitted successfully,Submitted
https://sitemaps.wenony.fr/products/22.xml,2025-03-28T11:43:25.130Z,N/A,0,0,True,0,Yes,Submitted successfully,Submitted
https://sitemaps.wenony.fr/products/23.xml,2025-03-28T11:43:25.353Z,N/A,0,0,True,0,Yes,Submitted successfully,Submitted
